Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived
0.5,0,0,0,-1,0,0,0,1
1,1,0.1,0,-1,0,0,0,2
1.5,0,0,0,-1,0,0,1,2
1.5,1,0.1,0,-1,0,0,1,3
2,2,0.2,0,-1,0,0,1,4
2.5,1,0.1,0,-1,0,0,2,4
2.5,2,0.2,0,-1,0,0,2,5
3,3,0.3,0,-1,0,0,2,6
3.5,2,0.2,0,-1,0,0,3,6
3.5,3,0.3,0,-1,0,0,3,7
4,4,0.4,0,-1,0,0,3,8
4.5,3,0.3,0,-1,0,0,4,8
4.5,4,0.4,0,-1,0,0,4,9
5,5,0.5,0,-1,0,0,4,10
5.5,4,0.4,0,-1,0,0,5,10
5.5,5,0.5,0,-1,0,0,5,11
6,6,0.6,0.333333,0.548814,0,0,5,12
6.5,5,0.5,0,-1,0,0,6,12
6.5,6,0.6,0.333333,0.592845,0,0,6,13
7,7,0.7,0.666667,0.715189,0,0,6,14
7.5,6,0.6,0.333333,-1,0,0,7,14
7.5,7,0.7,0.666667,0.844266,0,0,7,15
8,7,0.7,0.666667,0.602763,1,1,7,16
8.5,6,0.6,0.333333,-1,0,1,8,16
8.5,7,0.7,0.666667,0.857946,0,1,8,17
9,7,0.7,0.666667,0.544883,1,2,8,18
9.5,6,0.6,0.333333,-1,0,2,9,18
9.5,7,0.7,0.666667,0.847252,0,2,9,19
10,7,0.7,0.666667,0.423655,1,3,9,20
10.5,6,0.6,0.333333,-1,0,3,10,20
10.5,7,0.7,0.666667,0.623564,0,3,10,21
11,7,0.7,0.666667,0.645894,1,4,10,22
11.5,6,0.6,0.333333,-1,0,4,11,22
11.5,7,0.7,0.666667,0.384382,0,4,11,23
12,7,0.7,0.666667,0.437587,1,5,11,24
12.5,6,0.6,0.333333,-1,0,5,12,24
12.5,6,0.6,0.333333,0.297535,1,6,12,25
13,7,0.7,0.666667,0.891773,0,6,12,26
13.5,6,0.6,0.333333,-1,0,6,13,26
13.5,6,0.6,0.333333,0.056713,1,7,13,27
14,7,0.7,0.666667,0.963663,0,7,13,28
14.5,6,0.6,0.333333,-1,0,7,14,28
14.5,6,0.6,0.333333,0.272656,1,8,14,29
15,7,0.7,0.666667,0.383442,0,8,14,30
15.5,6,0.6,0.333333,-1,0,8,15,30
15.5,7,0.7,0.666667,0.477665,0,8,15,31
16,8,0.8,1,0.791725,0,8,15,32
16.5,7,0.7,0.666667,-1,0,8,16,32
16.5,8,0.8,1,0.812169,0,8,16,33
17,8,0.8,1,0.528895,1,9,16,34
17.5,7,0.7,0.666667,-1,0,9,17,34
17.5,7,0.7,0.666667,0.479977,1,10,17,35
18,7,0.7,0.666667,0.568045,1,11,17,36
18.5,6,0.6,0.333333,-1,0,11,18,36
18.5,7,0.7,0.666667,0.392785,0,11,18,37
19,8,0.8,1,0.925597,0,11,18,38
19.5,7,0.7,0.666667,-1,0,11,19,38
19.5,8,0.8,1,0.836079,0,11,19,39
20,8,0.8,1,0.0710361,1,12,19,40
20.5,7,0.7,0.666667,-1,0,12,20,40
20.5,7,0.7,0.666667,0.337396,1,13,20,41
21,7,0.7,0.666667,0.0871293,1,14,20,42
21.5,6,0.6,0.333333,-1,0,14,21,42
21.5,7,0.7,0.666667,0.648172,0,14,21,43
22,7,0.7,0.666667,0.0202184,1,15,21,44
22.5,6,0.6,0.333333,-1,0,15,22,44
22.5,7,0.7,0.666667,0.368242,0,15,22,45
23,8,0.8,1,0.83262,0,15,22,46
23.5,7,0.7,0.666667,-1,0,15,23,46
23.5,8,0.8,1,0.957155,0,15,23,47
24,8,0.8,1,0.778157,1,16,23,48
24.5,7,0.7,0.666667,-1,0,16,24,48
24.5,7,0.7,0.666667,0.140351,1,17,24,49
25,8,0.8,1,0.870012,0,17,24,50
25.5,7,0.7,0.666667,-1,0,17,25,50
25.5,8,0.8,1,0.870087,0,17,25,51
26,8,0.8,1,0.978618,1,18,25,52
26.5,7,0.7,0.666667,-1,0,18,26,52
26.5,7,0.7,0.666667,0.473608,1,19,26,53
27,8,0.8,1,0.799159,0,19,26,54
27.5,7,0.7,0.666667,-1,0,19,27,54
27.5,8,0.8,1,0.800911,0,19,27,55
28,8,0.8,1,0.461479,1,20,27,56
28.5,7,0.7,0.666667,-1,0,20,28,56
28.5,7,0.7,0.666667,0.520477,1,21,28,57
29,8,0.8,1,0.780529,0,21,28,58
29.5,7,0.7,0.666667,-1,0,21,29,58
29.5,8,0.8,1,0.67888,0,21,29,59
30,8,0.8,1,0.118274,1,22,29,60
30.5,7,0.7,0.666667,-1,0,22,30,60
30.5,8,0.8,1,0.720633,0,22,30,61
31,8,0.8,1,0.639921,1,23,30,62
31.5,7,0.7,0.666667,-1,0,23,31,62
31.5,7,0.7,0.666667,0.58202,1,24,31,63
32,7,0.7,0.666667,0.143353,1,25,31,64
32.5,6,0.6,0.333333,-1,0,25,32,64
32.5,7,0.7,0.666667,0.537373,0,25,32,65
33,8,0.8,1,0.944669,0,25,32,66
33.5,7,0.7,0.666667,-1,0,25,33,66
33.5,8,0.8,1,0.758616,0,25,33,67
34,8,0.8,1,0.521848,1,26,33,68
34.5,7,0.7,0.666667,-1,0,26,34,68
34.5,7,0.7,0.666667,0.105908,1,27,34,69
35,7,0.7,0.666667,0.414662,1,28,34,70
35.5,6,0.6,0.333333,-1,0,28,35,70
35.5,7,0.7,0.666667,0.4736,0,28,35,71
36,7,0.7,0.666667,0.264556,1,29,35,72
36.5,6,0.6,0.333333,-1,0,29,36,72
36.5,6,0.6,0.333333,0.186332,1,30,36,73
37,7,0.7,0.666667,0.774234,0,30,36,74
37.5,6,0.6,0.333333,-1,0,30,37,74
37.5,7,0.7,0.666667,0.736918,0,30,37,75
38,7,0.7,0.666667,0.45615,1,31,37,76
38.5,6,0.6,0.333333,-1,0,31,38,76
38.5,6,0.6,0.333333,0.21655,1,32,38,77
39,7,0.7,0.666667,0.568434,0,32,38,78
39.5,6,0.6,0.333333,-1,0,32,39,78
39.5,6,0.6,0.333333,0.135218,1,33,39,79
40,6,0.6,0.333333,0.0187898,1,34,39,80
40.5,5,0.5,0,-1,0,34,40,80
40.5,6,0.6,0.333333,0.324141,0,34,40,81
41,7,0.7,0.666667,0.617636,0,34,40,82
41.5,6,0.6,0.333333,-1,0,34,41,82
41.5,6,0.6,0.333333,0.149675,1,35,41,83
42,7,0.7,0.666667,0.612096,0,35,41,84
42.5,6,0.6,0.333333,-1,0,35,42,84
42.5,6,0.6,0.333333,0.222321,1,36,42,85
43,7,0.7,0.666667,0.616934,0,36,42,86
43.5,6,0.6,0.333333,-1,0,36,43,86
43.5,7,0.7,0.666667,0.386489,0,36,43,87
44,8,0.8,1,0.943748,0,36,43,88
44.5,7,0.7,0.666667,-1,0,36,44,88
44.5,8,0.8,1,0.902598,0,36,44,89
45,8,0.8,1,0.68182,1,37,44,90
45.5,7,0.7,0.666667,-1,0,37,45,90
45.5,7,0.7,0.666667,0.44995,1,38,45,91
46,7,0.7,0.666667,0.359508,1,39,45,92
46.5,6,0.6,0.333333,-1,0,39,46,92
46.5,7,0.7,0.666667,0.613063,0,39,46,93
47,7,0.7,0.666667,0.437032,1,40,46,94
47.5,6,0.6,0.333333,-1,0,40,47,94
47.5,7,0.7,0.666667,0.902349,0,40,47,95
48,8,0.8,1,0.697631,0,40,47,96
48.5,7,0.7,0.666667,-1,0,40,48,96
48.5,7,0.7,0.666667,0.0992804,1,41,48,97
49,7,0.7,0.666667,0.0602255,1,42,48,98
49.5,6,0.6,0.333333,-1,0,42,49,98
49.5,7,0.7,0.666667,0.969809,0,42,49,99
50,8,0.8,1,0.666767,0,42,49,100
50.5,7,0.7,0.666667,-1,0,42,50,100
50.5,7,0.7,0.666667,0.65314,1,43,50,101
51,8,0.8,1,0.670638,0,43,50,102
51.5,7,0.7,0.666667,-1,0,43,51,102
51.5,7,0.7,0.666667,0.17091,1,44,51,103
52,7,0.7,0.666667,0.210383,1,45,51,104
52.5,6,0.6,0.333333,-1,0,45,52,104
52.5,7,0.7,0.666667,0.358152,0,45,52,105
53,7,0.7,0.666667,0.128926,1,46,52,106
53.5,6,0.6,0.333333,-1,0,46,53,106
53.5,7,0.7,0.666667,0.750686,0,46,53,107
54,7,0.7,0.666667,0.315428,1,47,53,108
54.5,6,0.6,0.333333,-1,0,47,54,108
54.5,7,0.7,0.666667,0.607831,0,47,54,109
55,7,0.7,0.666667,0.363711,1,48,54,110
55.5,6,0.6,0.333333,-1,0,48,55,110
55.5,6,0.6,0.333333,0.325047,1,49,55,111
56,7,0.7,0.666667,0.570197,0,49,55,112
56.5,6,0.6,0.333333,-1,0,49,56,112
56.5,6,0.6,0.333333,0.0384254,1,50,56,113
57,7,0.7,0.666667,0.438602,0,50,56,114
57.5,6,0.6,0.333333,-1,0,50,57,114
57.5,7,0.7,0.666667,0.634274,0,50,57,115
58,8,0.8,1,0.988374,0,50,57,116
58.5,7,0.7,0.666667,-1,0,50,58,116
58.5,8,0.8,1,0.958949,0,50,58,117
59,8,0.8,1,0.102045,1,51,58,118
59.5,7,0.7,0.666667,-1,0,51,59,118
59.5,7,0.7,0.666667,0.65279,1,52,59,119
60,7,0.7,0.666667,0.208877,1,53,59,120
60.5,6,0.6,0.333333,-1,0,53,60,120
60.5,7,0.7,0.666667,0.635059,0,53,60,121
61,7,0.7,0.666667,0.16131,1,54,60,122
61.5,6,0.6,0.333333,-1,0,54,61,122
61.5,7,0.7,0.666667,0.9953,0,54,61,123
62,7,0.7,0.666667,0.653108,1,55,61,124
62.5,6,0.6,0.333333,-1,0,55,62,124
62.5,7,0.7,0.666667,0.58185,0,55,62,125
63,7,0.7,0.666667,0.253292,1,56,62,126
63.5,6,0.6,0.333333,-1,0,56,63,126
63.5,7,0.7,0.666667,0.414369,0,56,63,127
64,7,0.7,0.666667,0.466311,1,57,63,128
64.5,6,0.6,0.333333,-1,0,57,64,128
64.5,7,0.7,0.666667,0.474698,0,57,64,129
65,7,0.7,0.666667,0.244426,1,58,64,130
65.5,6,0.6,0.333333,-1,0,58,65,130
65.5,7,0.7,0.666667,0.62351,0,58,65,131
66,7,0.7,0.666667,0.15897,1,59,65,132
66.5,6,0.6,0.333333,-1,0,59,66,132
66.5,7,0.7,0.666667,0.338008,0,59,66,133
67,7,0.7,0.666667,0.110375,1,60,66,134
67.5,6,0.6,0.333333,-1,0,60,67,134
67.5,7,0.7,0.666667,0.674752,0,60,67,135
68,7,0.7,0.666667,0.65633,1,61,67,136
68.5,6,0.6,0.333333,-1,0,61,68,136
68.5,6,0.6,0.333333,0.317202,1,62,68,137
69,6,0.6,0.333333,0.138183,1,63,68,138
69.5,5,0.5,0,-1,0,63,69,138
69.5,6,0.6,0.333333,0.778345,0,63,69,139
70,6,0.6,0.333333,0.196582,1,64,69,140
70.5,5,0.5,0,-1,0,64,70,140
70.5,6,0.6,0.333333,0.949571,0,64,70,141
71,7,0.7,0.666667,0.368725,0,64,70,142
71.5,6,0.6,0.333333,-1,0,64,71,142
71.5,7,0.7,0.666667,0.662527,0,64,71,143
72,8,0.8,1,0.820993,0,64,71,144
72.5,7,0.7,0.666667,-1,0,64,72,144
72.5,7,0.7,0.666667,0.0135716,1,65,72,145
73,7,0.7,0.666667,0.0971013,1,66,72,146
73.5,6,0.6,0.333333,-1,0,66,73,146
73.5,7,0.7,0.666667,0.622846,0,66,73,147
74,8,0.8,1,0.837945,0,66,73,148
74.5,7,0.7,0.666667,-1,0,66,74,148
74.5,8,0.8,1,0.67366,0,66,74,149
75,8,0.8,1,0.0960984,1,67,74,150
75.5,7,0.7,0.666667,-1,0,67,75,150
75.5,8,0.8,1,0.971945,0,67,75,151
76,8,0.8,1,0.976459,1,68,75,152
76.5,7,0.7,0.666667,-1,0,68,76,152
76.5,8,0.8,1,0.878193,0,68,76,153
77,8,0.8,1,0.468651,1,69,76,154
77.5,7,0.7,0.666667,-1,0,69,77,154
77.5,7,0.7,0.666667,0.509624,1,70,77,155
78,8,0.8,1,0.976761,0,70,77,156
78.5,7,0.7,0.666667,-1,0,70,78,156
78.5,7,0.7,0.666667,0.0557147,1,71,78,157
79,7,0.7,0.666667,0.604846,1,72,78,158
79.5,6,0.6,0.333333,-1,0,72,79,158
79.5,7,0.7,0.666667,0.451159,0,72,79,159
80,8,0.8,1,0.739264,0,72,79,160
80.5,7,0.7,0.666667,-1,0,72,80,160
80.5,7,0.7,0.666667,0.0199877,1,73,80,161
81,7,0.7,0.666667,0.0391878,1,74,80,162
81.5,6,0.6,0.333333,-1,0,74,81,162
81.5,7,0.7,0.666667,0.441711,0,74,81,163
82,7,0.7,0.666667,0.282807,1,75,81,164
82.5,6,0.6,0.333333,-1,0,75,82,164
82.5,7,0.7,0.666667,0.979587,0,75,82,165
83,7,0.7,0.666667,0.120197,1,76,82,166
83.5,6,0.6,0.333333,-1,0,76,83,166
83.5,7,0.7,0.666667,0.359444,0,76,83,167
84,7,0.7,0.666667,0.29614,1,77,83,168
84.5,6,0.6,0.333333,-1,0,77,84,168
84.5,7,0.7,0.666667,0.480894,0,77,84,169
85,7,0.7,0.666667,0.118728,1,78,84,170
85.5,6,0.6,0.333333,-1,0,78,85,170
85.5,7,0.7,0.666667,0.688661,0,78,85,171
86,7,0.7,0.666667,0.317983,1,79,85,172
86.5,6,0.6,0.333333,-1,0,79,86,172
86.5,7,0.7,0.666667,0.880476,0,79,86,173
87,7,0.7,0.666667,0.414263,1,80,86,174
87.5,6,0.6,0.333333,-1,0,80,87,174
87.5,7,0.7,0.666667,0.918235,0,80,87,175
88,7,0.7,0.666667,0.0641475,1,81,87,176
88.5,6,0.6,0.333333,-1,0,81,88,176
88.5,6,0.6,0.333333,0.216822,1,82,88,177
89,7,0.7,0.666667,0.692472,0,82,88,178
89.5,6,0.6,0.333333,-1,0,82,89,178
89.5,7,0.7,0.666667,0.565189,0,82,89,179
90,7,0.7,0.666667,0.566601,1,83,89,180
90.5,6,0.6,0.333333,-1,0,83,90,180
90.5,7,0.7,0.666667,0.865103,0,83,90,181
91,7,0.7,0.666667,0.265389,1,84,90,182
91.5,6,0.6,0.333333,-1,0,84,91,182
91.5,7,0.7,0.666667,0.508969,0,84,91,183
92,7,0.7,0.666667,0.523248,1,85,91,184
92.5,6,0.6,0.333333,-1,0,85,92,184
92.5,7,0.7,0.666667,0.916723,0,85,92,185
93,7,0.7,0.666667,0.0939405,1,86,92,186
93.5,6,0.6,0.333333,-1,0,86,93,186
93.5,7,0.7,0.666667,0.921158,0,86,93,187
94,7,0.7,0.666667,0.575946,1,87,93,188
94.5,6,0.6,0.333333,-1,0,87,94,188
94.5,6,0.6,0.333333,0.0831125,1,88,94,189
95,7,0.7,0.666667,0.929296,0,88,94,190
95.5,6,0.6,0.333333,-1,0,88,95,190
95.5,6,0.6,0.333333,0.277719,1,89,95,191
96,6,0.6,0.333333,0.318569,1,90,95,192
96.5,5,0.5,0,-1,0,90,96,192
96.5,6,0.6,0.333333,0.0093567,0,90,96,193
97,7,0.7,0.666667,0.66741,0,90,96,194
97.5,6,0.6,0.333333,-1,0,90,97,194
97.5,7,0.7,0.666667,0.842342,0,90,97,195
98,7,0.7,0.666667,0.131798,1,91,97,196
98.5,6,0.6,0.333333,-1,0,91,98,196
98.5,7,0.7,0.666667,0.647174,0,91,98,197
99,8,0.8,1,0.716327,0,91,98,198
99.5,7,0.7,0.666667,-1,0,91,99,198
99.5,8,0.8,1,0.841386,0,91,99,199
100,8,0.8,1,0.289406,1,92,99,200
